GaussianCopula,tCopula,ClaytonCopula,HS
-0.041719707101035175,-0.034442601570875114,-0.055443536047855166,-0.04044099660683874
-0.04270290595544206,-0.04804841163152672,-0.05186431463169925,-0.04044099660683874
-0.04597315666880813,-0.052841708046930926,-0.05229257573822634,-0.04044099660683874
-0.04065764977002045,-0.05189487380940262,-0.0523761345158182,-0.04044099660683874
-0.04610180475135923,-0.058802825595698674,-0.05688510831507671,-0.04044099660683874
-0.03962904975867671,-0.04763107026060145,-0.06136531913262372,-0.04044099660683874
-0.04167611259571652,-0.05073281790068686,-0.051155178816733406,-0.04044099660683874
-0.0369172264135592,-0.04729610933309002,-0.04849742202239665,-0.04044099660683874
-0.05079128203288701,-0.05656888089294544,-0.05500192639894977,-0.04044099660683874
-0.046611250313157174,-0.06479753735037443,-0.04492195858119098,-0.04044099660683874
-0.04057783364633263,-0.06176191028581118,-0.053374684902777754,-0.04044099660683874
-0.05181177427536939,-0.045706859472201426,-0.055368444334291896,-0.04044099660683874
-0.0442119590473779,-0.06456776644028318,-0.045583769233591684,-0.04044099660683874
-0.05193393821631032,-0.05805680241598089,-0.06186173258339094,-0.04044099660683874
-0.06275773539838429,-0.05590183674552305,-0.07759777764965288,-0.04044099660683874
-0.05664651395025156,-0.048825339049104556,-0.0680910770508913,-0.04044099660683874
-0.049723454201086474,-0.046625914872347615,-0.05639491804599194,-0.04044099660683874
-0.05641508611401568,-0.04523113303617335,-0.06430069480653167,-0.04044099660683874
-0.057326633751036936,-0.05893988344203744,-0.07864294437180883,-0.04044099660683874
-0.05337812849690795,-0.048564443991043565,-0.06127970515292972,-0.04044099660683874
-0.059704419590709,-0.049076813748394385,-0.08012647311210465,-0.04044099660683874
-0.04210624674181041,-0.0727203346069472,-0.06888053607599934,-0.04044099660683874
-0.044386351788177,-0.04370720128130637,-0.06140652540508683,-0.04044099660683874
-0.05651084148872874,-0.05286095134155835,-0.07468586965270328,-0.04044099660683874
-0.040974450749378034,-0.043296096745254836,-0.05447179648004199,-0.04044099660683874
-0.03937197388595746,-0.0622159319755501,-0.054517313092890984,-0.04044099660683874
-0.040491039470483395,-0.05892150478604463,-0.05580538563026513,-0.04044099660683874
-0.04021359543203378,-0.03824720003607139,-0.07336907151993037,-0.04044099660683874
-0.04603221002003082,-0.061642201587282106,-0.05302965247094931,-0.04044099660683874
-0.06079693757362489,-0.06249025262641693,-0.06443763722459947,-0.04044099660683874
-0.054737540786066984,-0.06237762590323524,-0.07693471961242443,-0.04044099660683874
-0.041200056396275136,-0.06286550333862471,-0.06841256396312609,-0.04044099660683874
-0.05270613119507428,-0.0580801130981036,-0.050077576647067336,-0.04044099660683874
-0.05000315321243955,-0.04899792352702352,-0.053448575440486285,-0.04044099660683874
-0.040794433792918534,-0.03892495316539322,-0.055992091766292953,-0.04044099660683874
-0.0703529422727833,-0.09270154743201266,-0.07507757117127081,-0.04044099660683874
-0.0545495328874889,-0.07836860242508223,-0.06812238851802403,-0.04044099660683874
-0.07542123495457405,-0.07374819788813201,-0.06112098048389439,-0.04044099660683874
-0.05720420579176164,-0.059461561470149964,-0.07117513583072253,-0.04044099660683874
-0.04876122806025086,-0.05844787009696957,-0.06681626930565966,-0.04044099660683874
-0.06736985324956905,-0.056083951930812115,-0.059654800416773526,-0.04044099660683874
-0.04776380789889531,-0.05747322169864044,-0.07330088769529487,-0.04044099660683874
-0.05252808192267411,-0.07560555257991747,-0.05630827842171267,-0.04044099660683874
-0.060185109336388105,-0.08920867354342195,-0.06482156411410674,-0.04044099660683874
-0.05922877257972913,-0.05669285357217735,-0.07570306679901898,-0.04044099660683874
-0.042941792870014844,-0.06465725625394368,-0.09334242477101745,-0.04044099660683874
-0.04906444798368754,-0.050985243433999954,-0.04911928132863692,-0.04044099660683874
-0.045418780576416955,-0.05467529683233332,-0.05298324166814562,-0.04044099660683874
-0.04493334333522589,-0.04614638543700908,-0.05691950630615999,-0.04044099660683874
-0.04516396355051285,-0.05020436070376054,-0.09164566303580422,-0.04044099660683874
-0.04397270618064291,-0.05171040397705088,-0.08208187039819108,-0.04044099660683874
-0.052662311173060354,-0.05462466245764593,-0.061708165864036595,-0.04044099660683874
-0.0539841309551303,-0.04461564072458498,-0.0756883688177766,-0.04044099660683874
-0.050988998524251525,-0.05346404137187066,-0.06486886298727833,-0.04044099660683874
-0.06353859333708421,-0.05617470266084137,-0.05853145355017669,-0.04044099660683874
-0.045742998015877376,-0.07273533812095904,-0.06324753455184566,-0.04044099660683874
-0.046500278872749476,-0.05128358304536101,-0.08282657367323772,-0.04044099660683874
-0.05505938342759265,-0.061569914709330306,-0.06592511978469251,-0.04044099660683874
-0.043062962208113814,-0.04757399917121827,-0.06183498409700371,-0.04044099660683874
-0.04490303657466249,-0.04447184536421748,-0.0661507882729966,-0.04044099660683874
-0.06471437883367097,-0.05783306097168965,-0.08466109769222976,-0.04044099660683874
-0.051721023264918384,-0.05002561587020972,-0.061355765291185346,-0.04044099660683874
-0.05003014522092444,-0.05470170341403191,-0.06389332171931546,-0.04044099660683874
-0.04598100718779662,-0.046639751592505836,-0.061947131110492146,-0.04044099660683874
-0.05108523756577706,-0.05518532087727182,-0.0677165995976223,-0.04044099660683874
-0.040748715303033964,-0.048840505363202495,-0.052036436667945614,-0.04044099660683874
-0.038017494953646806,-0.053298870540159374,-0.055573182379925354,-0.04044099660683874
-0.047198901562935665,-0.04146350763077444,-0.050438897490383855,-0.04044099660683874
-0.03764112130786714,-0.038449158537466104,-0.08190695861434882,-0.04044099660683874
-0.040786664913377145,-0.05204768958001332,-0.05802725956191912,-0.04044099660683874
-0.04066636477360425,-0.05812309507495093,-0.043185420237559925,-0.04044099660683874
-0.0449153367625569,-0.06415549782221737,-0.05058969602023542,-0.04044099660683874
-0.04676779247558379,-0.039780742657527735,-0.050912117192592754,-0.04044099660683874
-0.03925496536122202,-0.04817417317247139,-0.047340545473321345,-0.04044099660683874
